client,config,latency_ms
Besu,Baseline,164.722681
Besu,Baseline,75.637341
Besu,Baseline,24.948597
Besu,Baseline,141.124725
Besu,Baseline,117.306709
Besu,Baseline,25.63858
Besu,Baseline,98.146915
Besu,Baseline,209.188223
Besu,Baseline,365.620852
Besu,Baseline,108.976364
Besu,Baseline,20.482779
Besu,Baseline,93.137741
Besu,Baseline,25.839329
Besu,Baseline,27.432203
Besu,Baseline,15.660048
Besu,Baseline,284.554958
Besu,Baseline,190.091848
Besu,Baseline,48.855782
Besu,Baseline,195.724487
Besu,Baseline,337.97431
Besu,Baseline,161.830902
Besu,Baseline,295.308828
Besu,Baseline,256.690502
Besu,Baseline,217.390299
Besu,Baseline,343.961716
Besu,Baseline,63.479662
Besu,Baseline,108.421087
Besu,Baseline,361.452103
Besu,Baseline,81.823587
Besu,Baseline,208.372355
Besu,Baseline,138.41033
Besu,Baseline,220.065832
Besu,Baseline,138.824463
Besu,Baseline,302.975178
Besu,Baseline,25.606632
Besu,Baseline,165.254593
Besu,Baseline,27.35877
Besu,Baseline,125.249147
Besu,Baseline,27.621031
Besu,Baseline,28.126955
Besu,Baseline,91.821432
Besu,Baseline,139.892817
Besu,Baseline,31.848192
Besu,Baseline,300.382614
Besu,Baseline,342.666149
Besu,Baseline,53.257227
Besu,Baseline,321.741343
Besu,Baseline,693.975925
Besu,Baseline,22.561073
Besu,Baseline,234.266996
Besu,Baseline,96.303701
Besu,Baseline,186.413765
Besu,Baseline,23.82493
Besu,Baseline,116.201639
Besu,Baseline,170.241356
Besu,Baseline,234.767914
Besu,Baseline,324.346542
Besu,Baseline,282.46212
Besu,Baseline,115.558863
Besu,Baseline,211.514473
Besu,Baseline,28.362513
Besu,Baseline,239.677191
Besu,Baseline,165.402889
Besu,Baseline,24.366617
Besu,Baseline,105.768442
Besu,Baseline,334.022284
Besu,Baseline,196.850538
Besu,Baseline,392.305136
Besu,Baseline,78.65262
Besu,Baseline,18.648624
Besu,Baseline,156.032562
Besu,Baseline,189.599991
Besu,Baseline,19.950867
Besu,Baseline,90.569258
Besu,Baseline,23.209095
Besu,Baseline,165.003538
Besu,Baseline,83.695173
Besu,Baseline,26.174307
Besu,Baseline,129.244566
Besu,Baseline,29.617071
Besu,Baseline,58.412313
Besu,Baseline,304.36039
Besu,Baseline,17.451048
Besu,Baseline,45.316696
Besu,Baseline,334.756136
Besu,Baseline,169.911623
Besu,Baseline,112.920523
Besu,Baseline,266.343117
Besu,Baseline,31.766176
Besu,Baseline,283.958673
Besu,Baseline,184.773922
Besu,Baseline,53.391695
Besu,Baseline,30.430794
Besu,Baseline,20.637274
Besu,Baseline,197.933435
Besu,Baseline,95.277071
Besu,Baseline,155.912399
Besu,Baseline,102.62394
Besu,Baseline,377.652407
Besu,Baseline,320.430994
Besu,Baseline,122.955322
Besu,Baseline,29.108286
Besu,Baseline,70.158243
Besu,Baseline,104.053497
Besu,Baseline,136.175871
Besu,Baseline,203.005314
Besu,Baseline,322.908163
Besu,Baseline,398.603916
Besu,Baseline,214.88452
Besu,Baseline,437.204123
Besu,Baseline,121.701717
Besu,Baseline,142.363548
Besu,Baseline,28.069973
Besu,Baseline,145.329475
Besu,Baseline,699.623108
Besu,Baseline,79.236031
Besu,Baseline,80.922604
Besu,Baseline,155.61986
Besu,Baseline,66.177845
Besu,Baseline,93.236208
Besu,Baseline,20.948172
